"","origin","host_class","host_order","host_family","host_genus","host_species","virus_family","virus_genus"
"399","HP3","Mammalia","Rodentia","Muridae","Mastomys","Mastomys natalensis","Papillomaviridae","Iotapapillomavirus"
"400","HP3","Mammalia","Lagomorpha","Leporidae","Oryctolagus","Oryctolagus cuniculus","Papillomaviridae","Kappapapillomavirus"
"401","HP3","Mammalia","Lagomorpha","Leporidae","Sylvilagus","Sylvilagus floridanus","Papillomaviridae","Kappapapillomavirus"
"402","HP3","Mammalia","Carnivora","Canidae","Canis","Canis lupus","Papillomaviridae","Lambdapapillomavirus"
"403","HP3","Mammalia","Carnivora","Felidae","Felis","Felis catus","Papillomaviridae","Lambdapapillomavirus"
"404","HP3","Mammalia","Cetacea","Phocoenidae","Phocoena","Phocoena spinipinnis","Papillomaviridae","Omikronpapillomavirus"
"405","HP3","Mammalia","Rodentia","Cricetidae","Mesocricetus","Mesocricetus auratus","Papillomaviridae","Pipapillomavirus"
"406","HP3","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","Papillomaviridae","Xipapillomavirus"
"407","HP3","Mammalia","Perissodactyla","Equidae","Equus","Equus caballus","Papillomaviridae","Zetapapillomavirus"
"408","HP3","Mammalia","Chiroptera","Pteropodidae","Cynopterus","Cynopterus brachyotis","Paramyxoviridae","Henipavirus"
"409","HP3","Mammalia","Chiroptera","Pteropodidae","Dobsonia","Dobsonia anderseni","Paramyxoviridae","Henipavirus"
"410","HP3","Mammalia","Chiroptera","Pteropodidae","Dobsonia","Dobsonia moluccensis","Paramyxoviridae","Henipavirus"
"411","HP3","Mammalia","Chiroptera","Pteropodidae","Eidolon","Eidolon dupreanum","Paramyxoviridae","Henipavirus"
"412","HP3","Mammalia","Chiroptera","Pteropodidae","Eidolon","Eidolon helvum","Paramyxoviridae","Henipavirus"
"413","HP3","Mammalia","Chiroptera","Pteropodidae","Eonycteris","Eonycteris spelaea","Paramyxoviridae","Henipavirus"
"414","HP3","Mammalia","Chiroptera","Pteropodidae","Epomophorus","Epomophorus gambianus","Paramyxoviridae","Henipavirus"
"415","HP3","Mammalia","Perissodactyla","Equidae","Equus","Equus caballus","Paramyxoviridae","Henipavirus"
"416","HP3","Mammalia","Chiroptera","Hipposideridae","Hipposideros","Hipposideros armiger","Paramyxoviridae","Henipavirus"
"417","HP3","Mammalia","Chiroptera","Hipposideridae","Hipposideros","Hipposideros larvatus","Paramyxoviridae","Henipavirus"
"418","HP3","Mammalia","Chiroptera","Hipposideridae","Hipposideros","Hipposideros pomona","Paramyxoviridae","Henipavirus"
"419","HP3","Mammalia","Chiroptera","Pteropodidae","Hypsignathus","Hypsignathus monstrosus","Paramyxoviridae","Henipavirus"
"420","HP3","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Paramyxoviridae","Henipavirus"
"421","HP3","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis daubentonii","Paramyxoviridae","Henipavirus"
"422","HP3","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis ricketti","Paramyxoviridae","Henipavirus"
"423","HP3","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus admiralitatum","Paramyxoviridae","Henipavirus"
"424","HP3","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus alecto","Paramyxoviridae","Henipavirus"
"425","HP3","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus capistratus","Paramyxoviridae","Henipavirus"
"426","HP3","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus conspicillatus","Paramyxoviridae","Henipavirus"
"427","HP3","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus giganteus","Paramyxoviridae","Henipavirus"
"428","HP3","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus hypomelanus","Paramyxoviridae","Henipavirus"
"429","HP3","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus lylei","Paramyxoviridae","Henipavirus"
"430","HP3","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus neohibernicus","Paramyxoviridae","Henipavirus"
"431","HP3","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus poliocephalus","Paramyxoviridae","Henipavirus"
"432","HP3","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus rufus","Paramyxoviridae","Henipavirus"
"433","HP3","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus scapulatus","Paramyxoviridae","Henipavirus"
"434","HP3","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus vampyrus","Paramyxoviridae","Henipavirus"
"435","HP3","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","Paramyxoviridae","Henipavirus"
"436","HP3","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus sinicus","Paramyxoviridae","Henipavirus"
"437","HP3","Mammalia","Chiroptera","Pteropodidae","Rousettus","Rousettus leschenaultii","Paramyxoviridae","Henipavirus"
"438","HP3","Mammalia","Chiroptera","Vespertilionidae","Scotophilus","Scotophilus kuhlii","Paramyxoviridae","Henipavirus"
"439","HP3","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa","Paramyxoviridae","Henipavirus"
"440","HP3","Mammalia","Artiodactyla","Bovidae","Aepyceros","Aepyceros melampus","Paramyxoviridae","Morbillivirus"
"441","HP3","Mammalia","Primates","Aotidae","Aotus","Aotus azarae","Paramyxoviridae","Morbillivirus"
"442","HP3","Mammalia","Primates","Aotidae","Aotus","Aotus trivirgatus","Paramyxoviridae","Morbillivirus"
"443","HP3","Mammalia","Artiodactyla","Bovidae","Bos","Bos frontalis","Paramyxoviridae","Morbillivirus"
"444","HP3","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","Paramyxoviridae","Morbillivirus"
"445","HP3","Mammalia","Artiodactyla","Bovidae","Bubalus","Bubalus bubalis","Paramyxoviridae","Morbillivirus"
"446","HP3","Mammalia","Artiodactyla","Camelidae","Camelus","Camelus dromedarius","Paramyxoviridae","Morbillivirus"
"447","HP3","Mammalia","Carnivora","Canidae","Canis","Canis lupus","Paramyxoviridae","Morbillivirus"
"448","HP3","Mammalia","Carnivora","Canidae","Canis","Canis mesomelas","Paramyxoviridae","Morbillivirus"
"449","HP3","Mammalia","Carnivora","Canidae","Canis","Canis simensis","Paramyxoviridae","Morbillivirus"
"450","HP3","Mammalia","Artiodactyla","Bovidae","Capra","Capra hircus","Paramyxoviridae","Morbillivirus"
"451","HP3","Mammalia","Primates","Cercopithecidae","Cercopithecus","Cercopithecus mona","Paramyxoviridae","Morbillivirus"
"452","HP3","Mammalia","Carnivora","Canidae","Cerdocyon","Cerdocyon thous","Paramyxoviridae","Morbillivirus"
"453","HP3","Mammalia","Primates","Cercopithecidae","Chlorocebus","Chlorocebus sabaeus","Paramyxoviridae","Morbillivirus"
"454","HP3","Mammalia","Primates","Cercopithecidae","Colobus","Colobus guereza","Paramyxoviridae","Morbillivirus"
"455","HP3","Mammalia","Artiodactyla","Bovidae","Connochaetes","Connochaetes taurinus","Paramyxoviridae","Morbillivirus"
"456","HP3","Mammalia","Carnivora","Hyaenidae","Crocuta","Crocuta crocuta","Paramyxoviridae","Morbillivirus"
"457","HP3","Mammalia","Carnivora","Phocidae","Cystophora","Cystophora cristata","Paramyxoviridae","Morbillivirus"
"458","HP3","Mammalia","Cetacea","Delphinidae","Delphinus","Delphinus delphis","Paramyxoviridae","Morbillivirus"
"459","HP3","Mammalia","Artiodactyla","Bovidae","Eudorcas","Eudorcas thomsonii","Paramyxoviridae","Morbillivirus"
"460","HP3","Mammalia","Artiodactyla","Bovidae","Gazella","Gazella dorcas","Paramyxoviridae","Morbillivirus"
"461","HP3","Mammalia","Artiodactyla","Giraffidae","Giraffa","Giraffa camelopardalis","Paramyxoviridae","Morbillivirus"
"462","HP3","Mammalia","Cetacea","Delphinidae","Globicephala","Globicephala melas","Paramyxoviridae","Morbillivirus"
"463","HP3","Mammalia","Carnivora","Phocidae","Halichoerus","Halichoerus grypus","Paramyxoviridae","Morbillivirus"
"464","HP3","Mammalia","Carnivora","Felidae","Leopardus","Leopardus pardalis","Paramyxoviridae","Morbillivirus"
"465","HP3","Mammalia","Carnivora","Phocidae","Lobodon","Lobodon carcinophaga","Paramyxoviridae","Morbillivirus"
"466","HP3","Mammalia","Carnivora","Mustelidae","Lontra","Lontra canadensis","Paramyxoviridae","Morbillivirus"
"467","HP3","Mammalia","Carnivora","Canidae","Lycalopex","Lycalopex gymnocercus","Paramyxoviridae","Morbillivirus"
"468","HP3","Mammalia","Carnivora","Canidae","Lycaon","Lycaon pictus","Paramyxoviridae","Morbillivirus"
"469","HP3","Mammalia","Primates","Cercopithecidae","Macaca","Macaca fascicularis","Paramyxoviridae","Morbillivirus"
"470","HP3","Mammalia","Primates","Cercopithecidae","Macaca","Macaca fuscata","Paramyxoviridae","Morbillivirus"
"471","HP3","Mammalia","Primates","Cercopithecidae","Macaca","Macaca mulatta","Paramyxoviridae","Morbillivirus"
"472","HP3","Mammalia","Primates","Cercopithecidae","Macaca","Macaca radiata","Paramyxoviridae","Morbillivirus"
"473","HP3","Mammalia","Artiodactyla","Bovidae","Ovis","Ovis aries","Paramyxoviridae","Morbillivirus"
"474","HP3","Mammalia","Carnivora","Phocidae","Pagophilus","Pagophilus groenlandicus","Paramyxoviridae","Morbillivirus"
"475","HP3","Mammalia","Carnivora","Felidae","Panthera","Panthera leo","Paramyxoviridae","Morbillivirus"
"476","HP3","Mammalia","Carnivora","Phocidae","Phoca","Phoca vitulina","Paramyxoviridae","Morbillivirus"
"477","HP3","Mammalia","Cetacea","Phocoenidae","Phocoena","Phocoena phocoena","Paramyxoviridae","Morbillivirus"
"478","HP3","Mammalia","Artiodactyla","Bovidae","Pseudois","Pseudois nayaur","Paramyxoviridae","Morbillivirus"
"479","HP3","Mammalia","Carnivora","Phocidae","Pusa","Pusa sibirica","Paramyxoviridae","Morbillivirus"
"480","HP3","Mammalia","Primates","Cebidae","Saimiri","Saimiri sciureus","Paramyxoviridae","Morbillivirus"
"481","HP3","Mammalia","Primates","Cercopithecidae","Semnopithecus","Semnopithecus entellus","Paramyxoviridae","Morbillivirus"
"482","HP3","Mammalia","Cetacea","Delphinidae","Stenella","Stenella coeruleoalba","Paramyxoviridae","Morbillivirus"
"483","HP3","Mammalia","Artiodactyla","Bovidae","Sylvicapra","Sylvicapra grimmia","Paramyxoviridae","Morbillivirus"
"484","HP3","Mammalia","Artiodactyla","Bovidae","Tragelaphus","Taurotragus oryx","Paramyxoviridae","Morbillivirus"
"485","HP3","Mammalia","Carnivora","Mustelidae","Taxidea","Taxidea taxus","Paramyxoviridae","Morbillivirus"
"486","HP3","Mammalia","Primates","Cercopithecidae","Trachypithecus","Trachypithecus cristatus","Paramyxoviridae","Morbillivirus"
"487","HP3","Mammalia","Artiodactyla","Bovidae","Tragelaphus","Tragelaphus imberbis","Paramyxoviridae","Morbillivirus"
"488","HP3","Mammalia","Artiodactyla","Bovidae","Tragelaphus","Tragelaphus strepsiceros","Paramyxoviridae","Morbillivirus"
"489","HP3","Mammalia","Cetacea","Delphinidae","Tursiops","Tursiops truncatus","Paramyxoviridae","Morbillivirus"
"490","HP3","Mammalia","Carnivora","Canidae","Urocyon","Urocyon cinereoargenteus","Paramyxoviridae","Morbillivirus"
"491","HP3","Mammalia","Carnivora","Canidae","Urocyon","Urocyon littoralis","Paramyxoviridae","Morbillivirus"
"492","HP3","Mammalia","Carnivora","Ursidae","Ursus","Ursus maritimus","Paramyxoviridae","Morbillivirus"
"493","HP3","Mammalia","Carnivora","Canidae","Vulpes","Vulpes velox","Paramyxoviridae","Morbillivirus"
"494","HP3","Mammalia","Artiodactyla","Antilocapridae","Antilocapra","Antilocapra americana","Paramyxoviridae","Respirovirus"
"495","HP3","Mammalia","Rodentia","Muridae","Apodemus","Apodemus sylvaticus","Paramyxoviridae","Respirovirus"
"496","HP3","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","Paramyxoviridae","Respirovirus"
"497","HP3","Mammalia","Artiodactyla","Bovidae","Bubalus","Bubalus bubalis","Paramyxoviridae","Respirovirus"
"498","HP3","Mammalia","Primates","Callitrichidae","Callithrix","Callithrix jacchus","Paramyxoviridae","Respirovirus"
"499","HP3","Mammalia","Artiodactyla","Bovidae","Capra","Capra hircus","Paramyxoviridae","Respirovirus"
"500","HP3","Mammalia","Rodentia","Caviidae","Cavia","Cavia porcellus","Paramyxoviridae","Respirovirus"
"501","HP3","Mammalia","Primates","Cercopithecidae","Cercopithecus","Cercopithecus ascanius","Paramyxoviridae","Respirovirus"
"502","HP3","Mammalia","Primates","Cercopithecidae","Cercopithecus","Cercopithecus mitis","Paramyxoviridae","Respirovirus"
"503","HP3","Mammalia","Primates","Cercopithecidae","Chlorocebus","Chlorocebus pygerythrus","Paramyxoviridae","Respirovirus"
"504","HP3","Mammalia","Rodentia","Cricetidae","Cricetus","Cricetus cricetus","Paramyxoviridae","Respirovirus"
"505","HP3","Mammalia","Rodentia","Cricetidae","Mesocricetus","Mesocricetus auratus","Paramyxoviridae","Respirovirus"
"506","HP3","Mammalia","Rodentia","Cricetidae","Microtus","Microtus agrestis","Paramyxoviridae","Respirovirus"
"507","HP3","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Paramyxoviridae","Respirovirus"
"508","HP3","Mammalia","Carnivora","Mustelidae","Mustela","Mustela nigripes","Paramyxoviridae","Respirovirus"
"509","HP3","Mammalia","Rodentia","Cricetidae","Myodes","Myodes glareolus","Paramyxoviridae","Respirovirus"
"510","HP3","Mammalia","Artiodactyla","Cervidae","Ozotoceros","Ozotoceros bezoarticus","Paramyxoviridae","Respirovirus"
"511","HP3","Mammalia","Primates","Cercopithecidae","Papio","Papio cynocephalus","Paramyxoviridae","Respirovirus"
"512","HP3","Mammalia","Rodentia","Muridae","Rattus","Rattus norvegicus","Paramyxoviridae","Respirovirus"
"513","HP3","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus carolinensis","Paramyxoviridae","Respirovirus"
"514","HP3","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa","Paramyxoviridae","Respirovirus"
"515","HP3","Mammalia","Artiodactyla","Camelidae","Vicugna","Vicugna vicugna","Paramyxoviridae","Respirovirus"
"516","HP3","Mammalia","Artiodactyla","Bovidae","Aepyceros","Aepyceros melampus","Poxviridae","Capripoxvirus"
"517","HP3","Mammalia","Artiodactyla","Bovidae","Antidorcas","Antidorcas marsupialis","Poxviridae","Capripoxvirus"
"518","HP3","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","Poxviridae","Capripoxvirus"
"519","HP3","Mammalia","Artiodactyla","Bovidae","Capra","Capra hircus","Poxviridae","Capripoxvirus"
"520","HP3","Mammalia","Artiodactyla","Bovidae","Connochaetes","Connochaetes gnou","Poxviridae","Capripoxvirus"
"521","HP3","Mammalia","Artiodactyla","Bovidae","Connochaetes","Connochaetes taurinus","Poxviridae","Capripoxvirus"
"522","HP3","Mammalia","Artiodactyla","Giraffidae","Giraffa","Giraffa camelopardalis","Poxviridae","Capripoxvirus"
"523","HP3","Mammalia","Artiodactyla","Bovidae","Kobus","Kobus ellipsiprymnus","Poxviridae","Capripoxvirus"
"524","HP3","Mammalia","Artiodactyla","Bovidae","Ovis","Ovis aries","Poxviridae","Capripoxvirus"
"525","HP3","Mammalia","Artiodactyla","Bovidae","Redunca","Redunca arundinum","Poxviridae","Capripoxvirus"
"526","HP3","Mammalia","Artiodactyla","Bovidae","Syncerus","Syncerus caffer","Poxviridae","Capripoxvirus"
"527","HP3","Mammalia","Artiodactyla","Bovidae","Tragelaphus","Taurotragus oryx","Poxviridae","Capripoxvirus"
"528","HP3","Mammalia","Artiodactyla","Bovidae","Tragelaphus","Tragelaphus strepsiceros","Poxviridae","Capripoxvirus"
"529","HP3","Mammalia","Lagomorpha","Leporidae","Lepus","Lepus capensis","Poxviridae","Leporipoxvirus"
"530","HP3","Mammalia","Lagomorpha","Leporidae","Lepus","Lepus europaeus","Poxviridae","Leporipoxvirus"
"531","HP3","Mammalia","Lagomorpha","Leporidae","Oryctolagus","Oryctolagus cuniculus","Poxviridae","Leporipoxvirus"
"532","HP3","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus carolinensis","Poxviridae","Leporipoxvirus"
"533","HP3","Mammalia","Lagomorpha","Leporidae","Sylvilagus","Sylvilagus bachmani","Poxviridae","Leporipoxvirus"
"534","HP3","Mammalia","Lagomorpha","Leporidae","Sylvilagus","Sylvilagus brasiliensis","Poxviridae","Leporipoxvirus"
"535","HP3","Mammalia","Rodentia","Sciuridae","Tamiasciurus","Tamiasciurus hudsonicus","Poxviridae","Leporipoxvirus"
"536","HP3","Mammalia","Rodentia","Muridae","Apodemus","Apodemus flavicollis","Poxviridae","Orthopoxvirus"
"537","HP3","Mammalia","Rodentia","Muridae","Apodemus","Apodemus sylvaticus","Poxviridae","Orthopoxvirus"
"538","HP3","Mammalia","Rodentia","Cricetidae","Arvicola","Arvicola scherman","Poxviridae","Orthopoxvirus"
"539","HP3","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","Poxviridae","Orthopoxvirus"
"540","HP3","Mammalia","Artiodactyla","Camelidae","Camelus","Camelus dromedarius","Poxviridae","Orthopoxvirus"
"541","HP3","Mammalia","Carnivora","Canidae","Canis","Canis lupus","Poxviridae","Orthopoxvirus"
"542","HP3","Mammalia","Rodentia","Castoridae","Castor","Castor fiber","Poxviridae","Orthopoxvirus"
"543","HP3","Mammalia","Primates","Cercopithecidae","Cercopithecus","Cercopithecus mona","Poxviridae","Orthopoxvirus"
"544","HP3","Mammalia","Primates","Cercopithecidae","Cercopithecus","Cercopithecus petaurista","Poxviridae","Orthopoxvirus"
"545","HP3","Mammalia","Rodentia","Nesomyidae","Cricetomys","Cricetomys emini","Poxviridae","Orthopoxvirus"
"546","HP3","Mammalia","Rodentia","Nesomyidae","Cricetomys","Cricetomys gambianus","Poxviridae","Orthopoxvirus"
"547","HP3","Mammalia","Rodentia","Sciuridae","Cynomys","Cynomys ludovicianus","Poxviridae","Orthopoxvirus"
"548","HP3","Mammalia","Perissodactyla","Equidae","Equus","Equus caballus","Poxviridae","Orthopoxvirus"
"549","HP3","Mammalia","Carnivora","Felidae","Felis","Felis catus","Poxviridae","Orthopoxvirus"
"550","HP3","Mammalia","Rodentia","Sciuridae","Funisciurus","Funisciurus anerythrus","Poxviridae","Orthopoxvirus"
"551","HP3","Mammalia","Rodentia","Sciuridae","Funisciurus","Funisciurus congicus","Poxviridae","Orthopoxvirus"
"552","HP3","Mammalia","Rodentia","Muridae","Gerbilliscus","Gerbilliscus kempi","Poxviridae","Orthopoxvirus"
"553","HP3","Mammalia","Rodentia","Sciuridae","Heliosciurus","Heliosciurus rufobrachium","Poxviridae","Orthopoxvirus"
"554","HP3","Mammalia","Carnivora","Felidae","Lynx","Lynx lynx","Poxviridae","Orthopoxvirus"
"555","HP3","Mammalia","Rodentia","Muridae","Meriones","Meriones libycus","Poxviridae","Orthopoxvirus"
"556","HP3","Mammalia","Rodentia","Cricetidae","Microtus","Microtus agrestis","Poxviridae","Orthopoxvirus"
"557","HP3","Mammalia","Rodentia","Cricetidae","Microtus","Microtus californicus","Poxviridae","Orthopoxvirus"
"558","HP3","Mammalia","Rodentia","Cricetidae","Microtus","Microtus oeconomus","Poxviridae","Orthopoxvirus"
"559","HP3","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Poxviridae","Orthopoxvirus"
"560","HP3","Mammalia","Rodentia","Cricetidae","Myodes","Myodes glareolus","Poxviridae","Orthopoxvirus"
"561","HP3","Mammalia","Rodentia","Cricetidae","Myodes","Myodes rufocanus","Poxviridae","Orthopoxvirus"
"562","HP3","Mammalia","Rodentia","Cricetidae","Myodes","Myodes rutilus","Poxviridae","Orthopoxvirus"
"563","HP3","Mammalia","Rodentia","Cricetidae","Oligoryzomys","Oligoryzomys flavescens","Poxviridae","Orthopoxvirus"
"564","HP3","Mammalia","Rodentia","Cricetidae","Oligoryzomys","Oligoryzomys nigripes","Poxviridae","Orthopoxvirus"
"565","HP3","Mammalia","Rodentia","Cricetidae","Sooretamys","Oryzomys angouya","Poxviridae","Orthopoxvirus"
"566","HP3","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus truei","Poxviridae","Orthopoxvirus"
"567","HP3","Mammalia","Carnivora","Procyonidae","Procyon","Procyon lotor","Poxviridae","Orthopoxvirus"
"568","HP3","Mammalia","Rodentia","Muridae","Rattus","Rattus norvegicus","Poxviridae","Orthopoxvirus"
"569","HP3","Mammalia","Rodentia","Muridae","Rhombomys","Rhombomys opimus","Poxviridae","Orthopoxvirus"
"570","HP3","Mammalia","Rodentia","Sciuridae","Spermophilus","Spermophilus fulvus","Poxviridae","Orthopoxvirus"
"571","HP3","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa","Poxviridae","Orthopoxvirus"
"572","HP3","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","Poxviridae","Parapoxvirus"
"573","HP3","Mammalia","Artiodactyla","Bovidae","Capra","Capra hircus","Poxviridae","Parapoxvirus"
"574","HP3","Mammalia","Artiodactyla","Cervidae","Cervus","Cervus elaphus","Poxviridae","Parapoxvirus"
"575","HP3","Mammalia","Artiodactyla","Bovidae","Ovibos","Ovibos moschatus","Poxviridae","Parapoxvirus"
"576","HP3","Mammalia","Artiodactyla","Bovidae","Ovis","Ovis aries","Poxviridae","Parapoxvirus"
"577","HP3","Mammalia","Carnivora","Phocidae","Phoca","Phoca vitulina","Poxviridae","Parapoxvirus"
"578","HP3","Mammalia","Artiodactyla","Cervidae","Rangifer","Rangifer tarandus","Poxviridae","Parapoxvirus"
"579","HP3","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus carolinensis","Poxviridae","Parapoxvirus"
"580","HP3","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus vulgaris","Poxviridae","Parapoxvirus"
"581","HP3","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa","Poxviridae","Suipoxvirus"
"582","HP3","Mammalia","Primates","Cercopithecidae","Chlorocebus","Chlorocebus aethiops","Poxviridae","Yatapoxvirus"
"583","HP3","Mammalia","Primates","Cercopithecidae","Chlorocebus","Chlorocebus pygerythrus","Poxviridae","Yatapoxvirus"
"584","HP3","Mammalia","Primates","Cercopithecidae","Erythrocebus","Erythrocebus patas","Poxviridae","Yatapoxvirus"
"585","HP3","Mammalia","Primates","Cercopithecidae","Macaca","Macaca fascicularis","Poxviridae","Yatapoxvirus"
"586","HP3","Mammalia","Primates","Cercopithecidae","Macaca","Macaca mulatta","Poxviridae","Yatapoxvirus"
"587","HP3","Mammalia","Primates","Cercopithecidae","Macaca","Macaca radiata","Poxviridae","Yatapoxvirus"
"588","HP3","Mammalia","Primates","Cercopithecidae","Papio","Papio anubis","Poxviridae","Yatapoxvirus"
"589","HP3","Mammalia","Rodentia","Muridae","Apodemus","Apodemus sylvaticus","Reoviridae","Coltivirus"
"590","HP3","Mammalia","Perissodactyla","Equidae","Equus","Equus caballus","Reoviridae","Coltivirus"
"591","HP3","Mammalia","Rodentia","Erethizontidae","Erethizon","Erethizon dorsatum","Reoviridae","Coltivirus"
"592","HP3","Mammalia","Rodentia","Sciuridae","Marmota","Marmota flaviventris","Reoviridae","Coltivirus"
"593","HP3","Mammalia","Rodentia","Cricetidae","Microtus","Microtus californicus","Reoviridae","Coltivirus"
"594","HP3","Mammalia","Rodentia","Cricetidae","Myodes","Myodes gapperi","Reoviridae","Coltivirus"
"595","HP3","Mammalia","Rodentia","Cricetidae","Neotoma","Neotoma cinerea","Reoviridae","Coltivirus"
"596","HP3","Mammalia","Rodentia","Cricetidae","Neotoma","Neotoma fuscipes","Reoviridae","Coltivirus"
"597","HP3","Mammalia","Artiodactyla","Bovidae","Ovis","Ovis aries","Reoviridae","Coltivirus"
"598","HP3","Mammalia","Rodentia","Heteromyidae","Perognathus","Perognathus parvus","Reoviridae","Coltivirus"
"599","HP3","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus boylii","Reoviridae","Coltivirus"
"600","HP3","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus maniculatus","Reoviridae","Coltivirus"
"601","HP3","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus truei","Reoviridae","Coltivirus"
"602","HP3","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus griseus","Reoviridae","Coltivirus"
"603","HP3","Mammalia","Rodentia","Sciuridae","Otospermophilus","Spermophilus beecheyi","Reoviridae","Coltivirus"
"604","HP3","Mammalia","Rodentia","Sciuridae","Urocitellus","Spermophilus columbianus","Reoviridae","Coltivirus"
"605","HP3","Mammalia","Rodentia","Sciuridae","Callospermophilus","Spermophilus lateralis","Reoviridae","Coltivirus"
"606","HP3","Mammalia","Rodentia","Sciuridae","Urocitellus","Spermophilus richardsonii","Reoviridae","Coltivirus"
"607","HP3","Mammalia","Rodentia","Sciuridae","Tamias","Tamias amoenus","Reoviridae","Coltivirus"
"608","HP3","Mammalia","Rodentia","Sciuridae","Tamias","Tamias minimus","Reoviridae","Coltivirus"
"609","HP3","Mammalia","Rodentia","Sciuridae","Tamias","Tamias umbrinus","Reoviridae","Coltivirus"
"610","HP3","Mammalia","Rodentia","Sciuridae","Tamiasciurus","Tamiasciurus hudsonicus","Reoviridae","Coltivirus"
"611","HP3","Mammalia","Carnivora","Canidae","Vulpes","Vulpes velox","Reoviridae","Coltivirus"
"612","HP3","Mammalia","Carnivora","Felidae","Acinonyx","Acinonyx jubatus","Reoviridae","Orbivirus"
"613","HP3","Mammalia","Artiodactyla","Bovidae","Aepyceros","Aepyceros melampus","Reoviridae","Orbivirus"
"614","HP3","Mammalia","Artiodactyla","Bovidae","Alcelaphus","Alcelaphus buselaphus","Reoviridae","Orbivirus"
"615","HP3","Mammalia","Artiodactyla","Bovidae","Ammotragus","Ammotragus lervia","Reoviridae","Orbivirus"
"616","HP3","Mammalia","Artiodactyla","Antilocapridae","Antilocapra","Antilocapra americana","Reoviridae","Orbivirus"
"617","HP3","Mammalia","Artiodactyla","Bovidae","Antilope","Antilope cervicapra","Reoviridae","Orbivirus"
"618","HP3","Mammalia","Rodentia","Muridae","Arvicanthis","Arvicanthis niloticus","Reoviridae","Orbivirus"
"619","HP3","Mammalia","Artiodactyla","Cervidae","Axis","Axis axis","Reoviridae","Orbivirus"
"620","HP3","Mammalia","Artiodactyla","Bovidae","Bison","Bison bison","Reoviridae","Orbivirus"
"621","HP3","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","Reoviridae","Orbivirus"
"622","HP3","Mammalia","Pilosa","Bradypodidae","Bradypus","Bradypus variegatus","Reoviridae","Orbivirus"
"623","HP3","Mammalia","Artiodactyla","Bovidae","Bubalus","Bubalus bubalis","Reoviridae","Orbivirus"
"624","HP3","Mammalia","Rodentia","Cricetidae","Calomys","Calomys callosus","Reoviridae","Orbivirus"
"625","HP3","Mammalia","Artiodactyla","Camelidae","Camelus","Camelus dromedarius","Reoviridae","Orbivirus"
"626","HP3","Mammalia","Carnivora","Canidae","Canis","Canis adustus","Reoviridae","Orbivirus"
"627","HP3","Mammalia","Carnivora","Canidae","Canis","Canis aureus","Reoviridae","Orbivirus"
"628","HP3","Mammalia","Carnivora","Canidae","Canis","Canis lupus","Reoviridae","Orbivirus"
"629","HP3","Mammalia","Carnivora","Canidae","Canis","Canis mesomelas","Reoviridae","Orbivirus"
"630","HP3","Mammalia","Artiodactyla","Bovidae","Capra","Capra hircus","Reoviridae","Orbivirus"
"631","HP3","Mammalia","Artiodactyla","Bovidae","Capra","Capra pyrenaica","Reoviridae","Orbivirus"
